Wavelength (micron),fresh,1 pulse,5 pulses
3.20035844,0.000123179,-5.97E-05,-5.05525E-05
3.199864838,0.000152364,-7.41533E-05,-6.75157E-05
3.199371388,0.000177717,-8.40683E-05,-8.84143E-05
3.198878089,0.000198809,-8.71804E-05,-0.000106991
3.198384944,0.000214351,-8.24774E-05,-0.000117612
3.197890927,0.00022216,-7.09818E-05,-0.000116847
3.197398085,0.000219425,-5.49084E-05,-0.000105294
3.196905396,0.000203123,-3.75629E-05,-8.68033E-05
3.196412858,0.000171126,-2.15939E-05,-6.78266E-05
3.195920471,0.000123444,-8.76892E-06,-5.49876E-05
3.195428237,6.28777E-05,2.57718E-07,-5.36785E-05
3.194936154,-5.02095E-06,5.94374E-06,-6.65264E-05
3.194444223,-7.21187E-05,8.97034E-06,-9.28798E-05
3.193952443,-0.000129789,1.01036E-05,-0.000128946
3.193459794,-0.000170389,1.02185E-05,-0.000168916
3.192968317,-0.000189262,1.04461E-05,-0.000206214
3.192476992,-0.00018587,1.26236E-05,-0.000234946
3.191985817,-0.000164105,1.91573E-05,-0.000251465
3.191494794,-0.000131354,3.25129E-05,-0.000255057
3.191003922,-9.69429E-05,5.46628E-05,-0.00024797
3.1905132,-6.90675E-05,8.58124E-05,-0.000234986
3.19002263,-5.33318E-05,0.000123994,-0.00022202
3.189531193,-5.12785E-05,0.000164796,-0.000214292
3.189040925,-6.03172E-05,0.000202292,-0.000215281
3.188550807,-7.53652E-05,0.000230082,-0.000225564
3.18806084,-9.05409E-05,0.000242933,-0.000242983
3.187571023,-0.000101694,0.000238066,-0.000262785
3.187081357,-0.000107529,0.000215376,-0.000279112
3.186591841,-0.000109598,0.000178219,-0.000286153
3.186101461,-0.000111458,0.00013187,-0.000279354
3.185612246,-0.000115707,8.29854E-05,-0.00025649
3.185123181,-0.00012348,3.78298E-05,-0.000218213
3.184634267,-0.000132028,1.26071E-06,-0.000168004
3.184145503,-0.000136119,-2.40923E-05,-0.00011171
3.183656888,-0.000129788,-3.81626E-05,-5.64325E-05
3.183168424,-0.000108363,-4.32806E-05,-9.04029E-06
3.182680109,-7.07245E-05,-4.37009E-05,2.50699E-05
3.182190932,-2.00899E-05,-4.46843E-05,4.30914E-05
3.181702917,3.71529E-05,-5.13508E-05,4.50684E-05
3.181215052,9.2693E-05,-6.75021E-05,3.3662E-05
3.180727337,0.000139441,-9.49205E-05,1.2769E-05
3.180239771,0.000172313,-0.000132474,-1.35137E-05
3.179752355,0.000189531,-0.000176604,-4.20517E-05
3.179265087,0.0001917,-0.000221494,-7.12484E-05
3.17877797,0.000180809,-0.000260963,-0.000100718
3.178291001,0.000158811,-0.000289346,-0.000130269
3.177803172,0.000127464,-0.00030329,-0.000159593
3.177316502,8.83365E-05,-0.00030245,-0.000187149
3.176829981,4.36417E-05,-0.000289112,-0.000210903
3.176343609,-3.47281E-06,-0.000267347,-0.000228893
3.175857386,-4.88038E-05,-0.000241355,-0.000239839
3.175371312,-8.80752E-05,-0.000214269,-0.00024413
3.174885387,-0.000117879,-0.000186964,-0.000243626
3.174398602,-0.000137029,-0.000158266,-0.000241084
3.173912974,-0.000146411,-0.000126106,-0.000239264
3.173427495,-0.000148867,-8.94439E-05,-0.000240007
3.172942165,-0.000147561,-4.92886E-05,-0.00024385
3.172456982,-0.000145246,-9.55462E-06,-0.000250063
3.171971948,-0.000143361,2.38254E-05,-0.000257185
3.171487063,-0.000142574,4.47432E-05,-0.000263438
3.171002325,-0.000143569,4.92438E-05,-0.00026707
3.170516731,-0.000147793,3.7217E-05,-0.000266707
3.17003229,-0.000158063,1.2772E-05,-0.000260924
3.169547997,-0.000177233,-1.6943E-05,-0.00024873
3.169063852,-0.000206932,-4.41133E-05,-0.000229463
3.168579855,-0.000245631,-6.28737E-05,-0.000203517
3.168096006,-0.000287636,-7.14961E-05,-0.000172499
3.167612305,-0.000324102,-7.23788E-05,-0.00013954
3.167128751,-0.00034466,-7.0871E-05,-0.000108428
3.166644342,-0.000341297,-7.24736E-05,-8.3126E-05
3.166161084,-0.000310741,-8.02175E-05,-6.63518E-05
