Wavelength (micron),CM Ambient,CM Vacuum,CI Ambient,CI Vacuum
6.5000065,0.084559422,0.090189841,0.055945705,0.059518587
6.497970684,0.084644259,0.090210968,0.05596024,0.059645211
6.495936142,0.0847434,0.090226343,0.056004227,0.059775377
6.493902875,0.084862151,0.09024391,0.056086271,0.059896301
6.491870879,0.084996237,0.090268162,0.056202984,0.059998894
6.489840155,0.085130545,0.090298174,0.056338147,0.060080619
6.487806492,0.085245733,0.090329005,0.05647025,0.060144914
6.48577831,0.085327216,0.090354667,0.056581824,0.06019825
6.483751395,0.085371762,0.090371032,0.056665632,0.060246649
6.481725747,0.08538771,0.090377074,0.05672434,0.06029316
6.479701364,0.085389899,0.090373962,0.056766318,0.060337255
6.477678245,0.085393321,0.090363869,0.05680004,0.060375645
6.475656389,0.085406675,0.090348862,0.056829721,0.060404823
6.473635795,0.085429638,0.090331458,0.056853656,0.060422524
6.471616461,0.085453923,0.090315415,0.056865629,0.060430064
6.469594201,0.085467943,0.090306926,0.056858658,0.060432099
6.467577388,0.085462806,0.090313924,0.056829143,0.060435421
6.465561831,0.085436085,0.090343394,0.056778721,0.060446546
6.463547531,0.08539261,0.090398655,0.056714279,0.060469452
6.461534485,0.085341385,0.090476301,0.056645314,0.06050379
6.459522693,0.085292595,0.090565451,0.056581975,0.06054535
6.457512153,0.085253927,0.090649211,0.056532615,0.060586556
6.455502864,0.085229223,0.090708844,0.056502802,0.060618856
6.453490661,0.085217962,0.090729894,0.056494017,0.060634879
6.451483874,0.08521633,0.09070754,0.056503524,0.060630431
6.449478334,0.085218784,0.090648254,0.056523992,0.060604896
6.447474041,0.085220293,0.090568457,0.056544994,0.06056072
6.445470993,0.085216624,0.090487116,0.056553799,0.060501791
6.44346919,0.085204891,0.090420984,0.056537126,0.06043207
6.441468629,0.085183652,0.090379496,0.056483088,0.060354805
6.43946931,0.085153379,0.090364581,0.056384311,0.060272354
6.437467088,0.085116763,0.090371259,0.0562417,0.060187228
6.435470253,0.085079289,0.09039082,0.056067933,0.060101307
6.433474655,0.085047435,0.090413051,0.055886052,0.060016338
6.431480295,0.085026078,0.090428552,0.055723961,0.059932266
6.429487171,0.085016073,0.090429189,0.055605745,0.059847542
6.427495282,0.085013,0.090407813,0.055544655,0.059758814
6.425504627,0.085008121,0.090357866,0.05554024,0.059662942
6.423511078,0.084989953,0.090274007,0.05557875,0.059558058
6.42152289,0.084947234,0.090154829,0.055634827,0.05944572
6.419535932,0.084871015,0.090005486,0.055674422,0.059332049
6.417550203,0.084758693,0.089840322,0.055661646,0.059227043
6.415565702,0.084615762,0.089681104,0.055573106,0.05914176
6.413582428,0.084455444,0.089549591,0.055413867,0.059083406
6.41160038,0.084292928,0.089457476,0.055219587,0.059051236
6.409619557,0.084138546,0.089399621,0.055036491,0.0590365
6.407639957,0.083995643,0.089356677,0.054895817,0.059026688
6.405657477,0.083863322,0.089304417,0.054803467,0.059010582
6.403680323,0.083740334,0.089223137,0.054746155,0.058981375
6.40170439,0.083626462,0.08910239,0.054701901,0.0589361
6.399729675,0.083521351,0.088941345,0.054648063,0.058874656
6.397756179,0.08342326,0.088747776,0.054566549,0.05879724
6.395783899,0.083326987,0.088535193,0.054446814,0.058703744
6.393812835,0.083224944,0.088320754,0.054288495,0.058593642
6.391842986,0.083108857,0.088121196,0.054100834,0.058466398
6.389870266,0.082974048,0.08794961,0.053899569,0.058323362
6.387902845,0.082822307,0.087812689,0.053700135,0.058167879
6.385936635,0.082662387,0.087709571,0.053511081,0.058005491
6.383971635,0.082506835,0.087632488,0.053330914,0.057841919
6.382007843,0.08236728,0.087568625,0.053149545,0.057681273
6.38004526,0.082250471,0.087502831,0.052953935,0.057523941
6.378083883,0.082155129,0.087419349,0.052734135,0.05736557
6.376123712,0.082071778,0.087304458,0.052489102,0.057197618
6.374164745,0.081984616,0.087149079,0.052229529,0.057008998
6.372202922,0.081875318,0.086950859,0.051975589,0.056789989
6.370246363,0.08172831,0.086714767,0.051749082,0.056535823
6.368291005,0.081536295,0.086452545,0.05156407,0.056249676
6.366336848,0.081300535,0.086177709,0.051419969,0.055941856
6.364383889,0.081029477,0.085901663,0.051303477,0.05562675
6.362432129,0.080733857,0.085629578,0.051195152,0.055317672
6.360481565,0.080424151,0.085360798,0.05107725,0.055022892
6.358528153,0.080108929,0.085089759,0.050937333,0.054743024
6.356579982,0.079794576,0.084808427,0.050768626,0.054471346
6.354633004,0.079484924,0.084507153,0.050567371,0.0541958
6.352687218,0.079180447,0.084176193,0.050330873,0.053902884
6.350742624,0.078876897,0.083807162,0.050056612,0.053582116
6.34879922,0.078564492,0.083395746,0.049744076,0.053230931
6.346857005,0.078229933,0.082945935,0.049399104,0.052857626
6.344915977,0.077860443,0.082471828,0.049036621,0.05248035
6.342972114,0.077450354,0.081996867,0.048678859,0.052120897
6.341033462,0.07700459,0.081547061,0.048347061,0.05179542
6.339095994,0.076536691,0.081142633,0.048051903,0.051508164
6.33715971,0.076062982,0.080791542,0.047789221,0.051250411
6.335224609,0.075597845,0.080488674,0.047543258,0.05100545
6.333290689,0.075151337,0.080218485,0.047293137,0.050755097
6.33135795,0.074730594,0.079961028,0.047020182,0.050485438
6.329426389,0.074341252,0.079697266,0.04671324,0.050189649
6.327492004,0.07398844,0.079414252,0.046371579,0.0498687
6.325562801,0.073675074,0.079107671,0.046004476,0.049529196
6.323634775,0.073400327,0.078782948,0.045628131,0.049180625
6.321707923,0.073156631,0.078451962,0.045259474,0.048831811
6.319782246,0.072929649,0.078128594,0.044910823,0.048489128
6.317857741,0.072700546,0.077823655,0.044587235,0.048156187
6.315934408,0.072450159,0.077541319,0.044287606,0.047835574
6.314008259,0.072164615,0.077279106,0.04400858,0.047529719
6.312087268,0.071838883,0.077029235,0.043747632,0.04724213
6.310167447,0.071478968,0.07678231,0.043504859,0.046976104
6.308248792,0.071099935,0.076530111,0.043281416,0.046733198
6.306331304,0.070721654,0.076267492,0.043076725,0.046511692
6.304414982,0.07036319,0.075993405,0.042886355,0.046306733
6.302499824,0.070037861,0.075709922,0.042701565,0.046111384
6.300585828,0.069750939,0.075421107,0.042511308,0.045918793
6.298672996,0.06949979,0.075132243,0.042305848,0.045723729
6.296757359,0.069275678,0.074848584,0.042079256,0.045523288
6.29484685,0.069066403,0.074574433,0.041830736,0.045316357
6.292937499,0.068859024,0.074312329,0.041563869,0.045102414
6.291029307,0.068641755,0.074061854,0.041284154,0.044880736
6.289122271,0.068405793,0.073819322,0.040997209,0.044650232
6.287216392,0.068146217,0.073577764,0.04070768,0.044410803
6.285311667,0.067862866,0.073328767,0.040420487,0.044164186
6.283408095,0.06756016,0.073064424,0.040141878,0.043914702
6.281501731,0.06724631,0.07278001,0.039880174,0.043668647
6.279600467,0.066930992,0.072475504,0.039644142,0.043432042
6.277700353,0.06662303,0.072156043,0.039439985,0.043209258
6.275801388,0.066327147,0.07183016,0.039267645,0.043001464
6.273903573,0.066042866,0.071507379,0.039119277,0.042806972
6.272006904,0.065764891,0.071195132,0.038980803,0.042623131
6.270111382,0.065485409,0.070896613,0.038836012,0.042447934
6.268217006,0.065197369,0.070610564,0.038672457,0.04228129
6.266319847,0.064897233,0.070332361,0.038485829,0.042123983
6.26442776,0.064586037,0.070056364,0.038281257,0.041975916
6.262536816,0.064268274,0.069778112,0.038070508,0.041833654
6.260647013,0.063950066,0.069496411,0.037866969,0.041689483
6.25875835,0.063636374,0.069213397,0.037679948,0.041532767
