Wavelength (micron),fresh,1 pulse,2 pulse,3 pulses,5 pulses
6.5000065,0.081652449,0.081636903,0.079566707,0.081495221,0.080934276
6.497970684,0.081691299,0.081645315,0.079658673,0.081613882,0.080951007
6.495936142,0.08173878,0.081660259,0.07975969,0.081747307,0.08096708
6.493902875,0.081809492,0.081702353,0.079860237,0.081901346,0.080986185
6.491870879,0.081909878,0.081781172,0.07995255,0.082069439,0.08101372
6.489840155,0.082033867,0.081888928,0.080033626,0.08223258,0.081053234
6.487806492,0.082165225,0.082004834,0.080105966,0.082366975,0.08110376
6.48577831,0.08228522,0.082105355,0.08017542,0.082454098,0.081160042
6.483751395,0.082380317,0.082174346,0.080247777,0.082487208,0.081215188
6.481725747,0.082446124,0.082207534,0.080325826,0.082472089,0.081263854
6.479701364,0.08248725,0.082210941,0.080408322,0.082423004,0.081304503
6.477678245,0.082514061,0.082195926,0.080490239,0.082357146,0.081339819
6.475656389,0.082538228,0.082173609,0.080564416,0.082289938,0.081375486
6.473635795,0.082568418,0.082150233,0.080624375,0.082231648,0.081417888
6.471616461,0.082607504,0.082125847,0.080666602,0.082186555,0.081471745
6.469594201,0.082652281,0.082095838,0.080691692,0.082154227,0.081538097
6.467577388,0.082695886,0.082055373,0.080703891,0.082132062,0.081615068
6.465561831,0.082731403,0.0820024,0.080708368,0.082116967,0.081698613
6.463547531,0.082755111,0.081940687,0.080708319,0.082106978,0.081785066
6.461534485,0.082767238,0.081879107,0.080703808,0.082100843,0.081871188
6.459522693,0.082772196,0.081830067,0.080691569,0.082097105,0.08195452
6.457512153,0.082776071,0.081806061,0.080667048,0.08209376,0.082031663
6.455502864,0.082785022,0.081816453,0.080627388,0.082088475,0.082096859
6.453490661,0.082802137,0.081863766,0.080573328,0.082079754,0.082141532
6.451483874,0.082826376,0.081941972,0.080509555,0.08206783,0.08215571
6.449478334,0.082852505,0.082036462,0.080442846,0.082054705,0.082129895
6.447474041,0.08287253,0.082127518,0.080378133,0.082042694,0.082057551
6.445470993,0.082878312,0.08219418,0.080315965,0.082032322,0.081936614
6.44346919,0.082862885,0.082217892,0.080251276,0.082020884,0.08176932
6.441468629,0.082821613,0.082185204,0.080176083,0.082001931,0.081562378
6.43946931,0.082752268,0.082090416,0.080082642,0.081966637,0.081327069
6.437467088,0.082654937,0.081938309,0.079967569,0.081907496,0.081078799
6.435470253,0.082530882,0.081745354,0.079834749,0.081821693,0.080835789
6.433474655,0.082381922,0.081537172,0.079694676,0.081714212,0.080615502
6.431480295,0.082208821,0.081341686,0.07956117,0.081597437,0.080429489
6.429487171,0.082010362,0.08118071,0.079445918,0.081487349,0.080280634
6.427495282,0.081783222,0.08106474,0.079355519,0.081399117,0.080162426
6.425504627,0.081523913,0.080992087,0.079290716,0.081342546,0.080061431
6.423511078,0.081231711,0.080951434,0.079248183,0.081320192,0.079961538
6.42152289,0.08091323,0.080925709,0.07922288,0.081325192,0.079848059
6.419535932,0.08058764,0.080895457,0.079209356,0.081339721,0.079713494
6.417550203,0.080289105,0.080842498,0.079201813,0.081335538,0.079563319
6.415565702,0.080060582,0.080755047,0.079193418,0.081280169,0.079419013
6.413582428,0.079935518,0.080632516,0.079176291,0.0811514,0.079312189
6.41160038,0.079917544,0.080486018,0.079143369,0.08095158,0.079268935
6.409619557,0.079977108,0.080332404,0.079090998,0.080707866,0.079294478
6.407639957,0.080068995,0.080186696,0.079019392,0.080457283,0.079371059
6.405657477,0.080153754,0.080058204,0.078930945,0.080229868,0.07946784
6.403680323,0.080207829,0.079951405,0.078827599,0.080040822,0.079553279
6.40170439,0.080222522,0.079867453,0.0787093,0.07989129,0.079602056
6.399729675,0.080198756,0.079804818,0.078573377,0.079772186,0.079597841
6.397756179,0.080142866,0.079758431,0.078415537,0.079668473,0.079534291
6.395783899,0.080063623,0.079718661,0.078231988,0.079563579,0.07941515
6.393812835,0.079970652,0.0796713,0.078022498,0.079444284,0.079253246
6.391842986,0.079872252,0.079600041,0.077792952,0.079305231,0.07906789
6.389870266,0.079773503,0.079490684,0.077556025,0.079151102,0.078879487
6.387902845,0.079674418,0.07933579,0.077328678,0.07899437,0.078703135
6.385936635,0.079569731,0.079136929,0.077126966,0.078849513,0.078543743
6.383971635,0.079450167,0.078903016,0.076961185,0.078725129,0.078395679
6.382007843,0.079305729,0.07864663,0.076833122,0.078619424,0.078245867
6.38004526,0.079128743,0.078380651,0.076735309,0.078519324,0.078078633
6.378083883,0.07891734,0.07811553,0.076653252,0.078404035,0.077880567
6.376123712,0.07867703,0.07785932,0.076567744,0.07825182,0.077644457
6.374164745,0.078420223,0.077617931,0.076458508,0.078048257,0.077371362
6.372202922,0.078163076,0.077395307,0.076308596,0.077792754,0.077070579
6.370246363,0.077918908,0.077192628,0.07610892,0.077500986,0.076757478
6.368291005,0.077692207,0.077007055,0.075860112,0.077198627,0.076448467
6.366336848,0.077476857,0.076830961,0.075572129,0.076910614,0.076156551
6.364383889,0.077259925,0.07665278,0.075260126,0.076651459,0.075888478
6.362432129,0.07702858,0.07646011,0.074939797,0.076421979,0.075644568
6.360481565,0.076775558,0.076241878,0.074624174,0.076211846,0.075420701
6.358528153,0.076501453,0.075990518,0.074321483,0.076005725,0.075210003
6.356579982,0.076212991,0.075702897,0.074034517,0.075787849,0.075004134
6.354633004,0.075919337,0.07537983,0.073759672,0.075544983,0.074793658
6.352687218,0.075627726,0.075025432,0.073486831,0.07526753,0.074568978
6.350742624,0.075339788,0.074646038,0.073199975,0.074949857,0.074321201
6.34879922,0.075049761,0.074249683,0.072880958,0.074591742,0.074044663
6.346857005,0.074746831,0.073845201,0.072516264,0.074199655,0.073739396
6.344915977,0.074420656,0.073442239,0.072104759,0.073787656,0.073412683
6.342972114,0.074068203,0.073050237,0.071662014,0.073374404,0.073076934
6.341033462,0.073696819,0.072677614,0.071215147,0.072976661,0.072744698
6.339095994,0.073320907,0.072329766,0.070791967,0.072602875,0.072423422
6.33715971,0.072954633,0.072008398,0.070410679,0.072251069,0.072113437
6.335224609,0.072606451,0.071711311,0.070076536,0.071911117,0.071809827
6.333290689,0.072277118,0.07143258,0.069784669,0.071570765,0.071505825
6.33135795,0.071961482,0.071163135,0.069525014,0.071220911,0.071196474
6.329426389,0.071651864,0.070892303,0.069286365,0.070859811,0.070880563
6.327492004,0.071341075,0.070609873,0.069059114,0.070494615,0.0705609
6.325562801,0.07102498,0.070308745,0.068835239,0.070139402,0.070243427
6.323634775,0.07070378,0.069987566,0.068608331,0.0698098,0.069935367
6.321707923,0.070381244,0.069652168,0.068372721,0.06951597,0.069642706
6.319782246,0.070063121,0.069313892,0.068123801,0.069257087,0.069368735
6.317857741,0.069755024,0.068986539,0.067859131,0.069020586,0.069113682
6.315934408,0.069461065,0.06868178,0.067579523,0.068785969,0.068875058
6.314008259,0.069183323,0.068406084,0.067289846,0.068532677,0.06864883
6.312087268,0.068921733,0.068158681,0.066997813,0.068247571,0.068430127
6.310167447,0.068674966,0.067932293,0.066711751,0.067929663,0.068214192
6.308248792,0.068440205,0.06771585,0.066437006,0.06759027,0.067997211
6.306331304,0.068214565,0.067497972,0.066173564,0.067248396,0.067777201
6.304414982,0.067995176,0.067270976,0.065916211,0.066923809,0.067554652
6.302499824,0.067780909,0.067033212,0.065657409,0.066630588,0.067332605
6.300585828,0.067572199,0.066789293,0.065391576,0.066373833,0.067115214
6.298672996,0.067371302,0.066548206,0.065119089,0.066149993,0.066905514
6.296757359,0.067180876,0.066320455,0.064847672,0.065950075,0.066702589
6.29484685,0.067001847,0.066114278,0.06458951,0.06576348,0.066500144
6.292937499,0.066831386,0.065932939,0.064356816,0.065580993,0.066286639
6.291029307,0.066662205,0.065773518,0.064155839,0.065396026,0.066048337
6.289122271,0.066483151,0.065627028,0.063983649,0.065204676,0.06577392
6.287216392,0.066281835,0.06548075,0.063828779,0.065004642,0.06545918
6.285311667,0.066047788,0.065320624,0.063675089,0.064794647,0.065109822
6.283408095,0.065775604,0.065134468,0.06350781,0.064574569,0.064741102
6.281501731,0.065466213,0.064914187,0.063317963,0.064345414,0.06437416
6.279600467,0.065126757,0.06465744,0.063104584,0.064109518,0.064030671
6.277700353,0.064768494,0.064368357,0.062873328,0.063869365,0.063727432
6.275801388,0.064403997,0.064057065,0.062632851,0.063626728,0.063472438
6.273903573,0.064045039,0.063737753,0.062390939,0.063381757,0.063264006
6.272006904,0.063700904,0.063425592,0.062152089,0.063132844,0.063092553
6.270111382,0.063378465,0.063133443,0.061917424,0.062878551,0.062943699
6.268217006,0.063082194,0.062868517,0.061686185,0.06261961,0.062801524
6.266319847,0.062814653,0.0626304,0.061458133,0.06236049,0.062651051
6.26442776,0.062576139,0.062411161,0.061234445,0.06210911,0.062479936
6.262536816,0.062364429,0.062198028,0.061017533,0.061874558,0.062279732
6.260647013,0.062174523,0.061977683,0.06080988,0.06166337,0.062047346
6.25875835,0.061999314,0.061740758,0.060612663,0.061476342,0.061786131
6.256870826,0.061831115,0.061485588,0.060425226,0.061307541,0.061506395
6.254984441,0.061663012,0.061218497,0.060245823,0.061146144,0.061224284
6.253095282,0.061490069,0.060952399,0.060072621,0.060980212,0.060958821
6.251211172,0.061309468,0.060702252,0.059904688,0.060801177,0.060727315
6.249328197,0.061120254,0.060480465,0.059741677,0.060606755,0.06054079
6.247446356,0.060922547,0.060293359,0.059583783,0.060401323,0.060401089
6.245565648,0.060717492,0.060139882,0.05943078,0.060193444,0.060300818
6.243686072,0.060507397,0.060013347,0.059282261,0.059991957,0.060226223
6.241807627,0.060296569,0.059904785,0.059138519,0.05980266,0.060162066
6.239930312,0.060091398,0.059806033,0.05900166,0.059627123,0.060096062
6.238054126,0.059899402,0.059711958,0.058875964,0.059464052,0.060020777
6.236175179,0.05972691,0.059620097,0.05876685,0.0593121,0.059933612
