Wavelength (micron),fresh,1 pulse,2 pulses,3 pulse,5 pulses
6.5000065,0.090189841,0.090197045,0.088991423,0.086629907,0.089186912
6.497970684,0.090210968,0.090351279,0.089020461,0.086666408,0.089272206
6.495936142,0.090226343,0.090529284,0.089038269,0.086675914,0.089380165
6.493902875,0.09024391,0.090707339,0.089056019,0.086676067,0.089499223
6.491870879,0.090268162,0.090858245,0.08908898,0.086688417,0.089613643
6.489840155,0.090298174,0.090960604,0.089150534,0.086728085,0.089710182
6.487806492,0.090329005,0.091006247,0.089247614,0.086797685,0.089784094
6.48577831,0.090354667,0.09100235,0.089378214,0.086888494,0.089841098
6.483751395,0.090371032,0.090967385,0.089532957,0.086986704,0.089893957
6.481725747,0.090377074,0.090924504,0.089697723,0.087080238,0.089956214
6.479701364,0.090373962,0.09089317,0.08985638,0.087161991,0.090035207
6.477678245,0.090363869,0.090884229,0.089993412,0.087230434,0.090128225
6.475656389,0.090348862,0.090896976,0.090096116,0.087287039,0.090222433
6.473635795,0.090331458,0.090921484,0.090157239,0.087334006,0.090299641
6.471616461,0.090315415,0.090943534,0.090176976,0.087372474,0.090344021
6.469594201,0.090306926,0.090951509,0.090163469,0.087402398,0.090349132
6.467577388,0.090313924,0.090941795,0.09013038,0.087423817,0.09032105
6.465561831,0.090343394,0.090919803,0.090092283,0.087437176,0.090275239
6.463547531,0.090398655,0.090897804,0.090060378,0.087444224,0.090230111
6.461534485,0.090476301,0.090889162,0.090038973,0.087446479,0.090199398
6.459522693,0.090565451,0.090903837,0.090025512,0.087444717,0.090188628
6.457512153,0.090649211,0.090944367,0.090013004,0.087438028,0.090194625
6.455502864,0.090708844,0.091005302,0.089993787,0.087424691,0.090209252
6.453490661,0.090729894,0.091075467,0.089963638,0.087403447,0.09022474
6.451483874,0.09070754,0.091141409,0.089924767,0.087375692,0.090237817
6.449478334,0.090648254,0.091192124,0.089884374,0.087345793,0.090250441
6.447474041,0.090568457,0.091222025,0.089851684,0.087320829,0.090267513
6.445470993,0.090487116,0.091230522,0.089832536,0.087307184,0.090291446
6.44346919,0.090420984,0.091220171,0.089826016,0.08730819,0.09031878
6.441468629,0.090379496,0.09119432,0.089823579,0.08732219,0.09033996
6.43946931,0.090364581,0.091155463,0.089811227,0.087342478,0.090342408
6.437467088,0.090371259,0.091105327,0.089773735,0.087359442,0.090316615
