Wavelength (micron),CM Vacuum - Ambient,CI Vacuum - Ambient
6.5000065,0.005372973,0.001965834
6.497970684,0.005366508,0.002060034
6.495936142,0.005329362,0.002131644
6.493902875,0.005257305,0.002161422
6.491870879,0.005156129,0.002144597
6.489840155,0.005041721,0.002094319
6.487806492,0.004933724,0.002033899
6.48577831,0.004847253,0.001985239
6.483751395,0.004787046,0.001959837
6.481725747,0.004747203,0.001956996
6.479701364,0.004715003,0.001967518
6.477678245,0.004676472,0.001980004
6.475656389,0.004622658,0.001987455
6.473635795,0.0045542,0.001989999
6.471616461,0.004482362,0.001995414
6.469594201,0.004426307,0.002014902
6.467577388,0.004406209,0.002057812
6.465561831,0.004435667,0.002127713
6.463547531,0.00451672,0.002220587
6.461534485,0.004638653,0.002326058
6.459522693,0.004779634,0.002430007
6.457512153,0.00491196,0.00251748
6.455502864,0.005008411,0.002575808
6.453490661,0.005050368,0.0025976
6.451483874,0.005033785,0.002582353
6.449478334,0.004970382,0.002536869
6.447474041,0.004883949,0.002473293
6.445470993,0.004801436,0.002407072
6.44346919,0.004746016,0.002354343
6.441468629,0.004730617,0.0023296
6.43946931,0.004756737,0.002342563
6.437467088,0.004815028,0.002395362
6.435470253,0.004888917,0.00247794
6.433474655,0.004960044,0.002569528
6.431480295,0.005014285,0.002642115
6.429487171,0.005044898,0.002669365
6.427495282,0.005052762,0.002633549
6.425504627,0.005043696,0.002530842
6.423511078,0.005025932,0.002372472
6.42152289,0.005008127,0.002185727
6.419535932,0.004998132,0.002012733
6.417550203,0.005000727,0.001903178
6.415565702,0.005016357,0.001896462
6.413582428,0.00504073,0.001998732
6.41160038,0.005068234,0.002174247
6.409619557,0.00509373,0.002364805
6.407639957,0.005111203,0.002521443
6.405657477,0.005112439,0.002622321
6.403680323,0.005088524,0.002670932
6.40170439,0.005033197,0.002685053
6.399729675,0.00494595,0.002687232
6.397756179,0.004833725,0.002696564
6.395783899,0.004711144,0.002724762
6.393812835,0.004598229,0.002773141
6.391842986,0.004515665,0.002833275
6.389870266,0.004478435,0.002891645
6.387902845,0.004490983,0.002936306
6.385936635,0.004545512,0.002963683
6.383971635,0.004624834,0.002980011
6.382007843,0.004707496,0.002998556
6.38004526,0.004773076,0.003032282
6.378083883,0.004806122,0.003087091
6.376123712,0.004798683,0.00315664
6.374164745,0.004751635,0.003220977
6.372202922,0.00467462,0.003252189
6.370246363,0.004583703,0.003225101
6.368291005,0.004497293,0.00312903
6.366336848,0.004431246,0.00297374
6.364383889,0.004394927,0.002784917
6.362432129,0.004389694,0.002593154
6.360481565,0.004410008,0.002422716
6.358528153,0.004445199,0.002285576
6.356579982,0.004482164,0.002181372
6.354633004,0.004506886,0.002101973
6.352687218,0.004506912,0.002037271
6.350742624,0.004474128,0.001980546
6.34879922,0.004408275,0.001931535
6.346857005,0.004319762,0.001894848
6.344915977,0.004229059,0.001875706
6.342972114,0.004161622,0.001874816
6.341033462,0.004139149,0.001886898
