Wavelength (micron);fresh;1 pulse;5 pulses
3.20035844;0.00037771;-0.000260559;-5.1895E-05
3.199864838;0.000356414;-0.00030065;-3.26154E-05
3.199371388;0.000329695;-0.000323331;-1.66493E-05
3.198878089;0.000302188;-0.000327068;-5.30481E-06
3.198384944;0.000277294;-0.000313075;1.06808E-06
3.197890927;0.000256517;-0.000285264;3.01796E-06
3.197398085;0.00023986;-0.000249528;1.77613E-06
3.196905396;0.000226448;-0.000212577;-1.37054E-06
3.196412858;0.000214619;-0.000180327;-5.64034E-06
3.195920471;0.000202686;-0.000156879;-1.07841E-05
3.195428237;0.00018832;-0.000143373;-1.71963E-05
3.194936154;0.000168314;-0.000138602;-2.54107E-05
3.194444223;0.000139482;-0.000139123;-3.54304E-05
3.193952443;9.92299E-05;-0.000140454;-4.66478E-05
3.193459794;4.68694E-05;-0.000139094;-5.83883E-05
3.192968317;-1.48874E-05;-0.000132706;-7.0119E-05
3.192476992;-8.04255E-05;-0.000120922;-8.20141E-05
3.191985817;-0.000141897;-0.000104958;-9.49545E-05
3.191494794;-0.000191786;-8.6366E-05;-0.000110376
3.191003922;-0.000225386;-6.68227E-05;-0.000129067
3.1905132;-0.000241829;-4.68949E-05;-0.000150924
3.19002263;-0.000244455;-2.69421E-05;-0.00017427
3.189531193;-0.000238905;-7.00453E-06;-0.000196631
3.189040925;-0.000230603;1.17841E-05;-0.000215252
3.188550807;-0.000223334;2.66472E-05;-0.000228523
3.18806084;-0.00021736;3.38238E-05;-0.000235922
3.187571023;-0.000211152;2.87402E-05;-0.000238749
3.187081357;-0.000202842;8.94934E-06;-0.000238649
3.186591841;-0.000191445;-2.49718E-05;-0.000236812
3.186101461;-0.000178339;-6.82995E-05;-0.000233362
3.185612246;-0.000166294;-0.000112609;-0.000227337
3.185123181;-0.000157737;-0.000147825;-0.000217381
3.184634267;-0.000153384;-0.000165551;-0.000203354
3.184145503;-0.000150447;-0.000160935;-0.000186587
3.183656888;-0.000144347;-0.000134957;-0.000170177
3.183168424;-0.000130046;-9.41879E-05;-0.000157877
3.182680109;-0.000104141;-4.84029E-05;-0.000152518
3.182190932;-6.7059E-05;-8.01621E-06;-0.000154513
3.181702917;-2.30337E-05;1.87954E-05;-0.000161481
3.181215052;2.16899E-05;2.83295E-05;-0.000168758
3.180727337;6.0092E-05;2.07638E-05;-0.000171496
3.180239771;8.76962E-05;-3.13671E-07;-0.000166398
3.179752355;0.000102764;-3.04144E-05;-0.000153287
3.179265087;0.000106237;-6.52232E-05;-0.000135389
3.17877797;0.000100146;-0.000101733;-0.000117969
3.178291001;8.69104E-05;-0.000137507;-0.000106245
3.177803172;6.82426E-05;-0.000169698;-0.000103613
3.177316502;4.48564E-05;-0.000194872;-0.000110487
3.176829981;1.83977E-05;-0.000208517;-0.000124189
3.176343609;-8.33649E-06;-0.000206241;-0.000140509
3.175857386;-3.12095E-05;-0.000185338;-0.000155437
3.175371312;-4.55073E-05;-0.000145896;-0.000166491
3.174885387;-4.74676E-05;-9.12007E-05;-0.000173772
3.174398602;-3.55567E-05;-2.6714E-05;-0.000179152
3.173912974;-1.1731E-05;4.06131E-05;-0.000186165
3.173427495;1.96754E-05;0.000104885;-0.000198027
3.172942165;5.28039E-05;0.000161185;-0.000217239
3.172456982;8.22479E-05;0.000206826;-0.000244915
3.171971948;0.000104582;0.000239671;-0.000280593
3.171487063;0.000118229;0.000258487;-0.000322219
3.171002325;0.000123643;0.000261965;-0.00036691
3.170516731;0.000122025;0.000250047;-0.000410622
3.17003229;0.000114969;0.000224309;-0.000449349
3.169547997;0.000103907;0.000188804;-0.00047919
3.169063852;9.02143E-05;0.000149724;-0.000497875
3.168579855;7.57235E-05;0.000114349;-0.000504637
3.168096006;6.2152E-05;8.8761E-05;-0.00050086
3.167612305;5.05304E-05;7.57671E-05;-0.000489367
3.167128751;4.07499E-05;7.3859E-05;-0.000473456
3.166644342;3.10343E-05;7.82924E-05;-0.000455612
3.166161084;1.83493E-05;8.26769E-05;-0.000436552
3.165677973;-6.9644E-07;8.14902E-05;-0.000415277
3.165195009;-2.77756E-05;7.27647E-05;-0.00038984
3.164712193;-6.17595E-05;5.81132E-05;-0.000358869
3.164229524;-9.80062E-05;4.25138E-05;-0.000322722
3.163747003;-0.000130275;3.11359E-05;-0.000284812
3.163263628;-0.000151358;2.83977E-05;-0.000250815
3.162782401;-0.000156944;3.51274E-05;-0.000227789
3.16229932;-0.000146476;4.9094E-05;-0.000222185
3.161817387;-0.000123869;6.64181E-05;-0.000237664
3.161335601;-9.60738E-05;8.25749E-05;-0.000274095
3.160853962;-7.11832E-05;9.52251E-05;-0.000326875
3.160372469;-5.55695E-05;0.000104198;-0.000387598
3.159891123;-5.25475E-05;0.000111673;-0.000445732
3.159409923;-6.18063E-05;0.00012059;-0.000490765
3.158927873;-8.02377E-05;0.000133073;-0.000514294
3.158446966;-0.000102925;0.000149259;-0.000511575
3.157966207;-0.000125039;0.000166872;-0.000483276
3.157485593;-0.000142571;0.000181281;-0.000434999
3.157005126;-0.000152842;0.000186771;-0.000376444
3.156524805;-0.000154312;0.000177866;-0.000319708
3.15604463;-0.000147477;0.000150634;-0.000276147
3.155564602;-0.000134049;0.000104057;-0.000254255
3.155083723;-0.000117478;4.09118E-05;-0.000257092
3.154603987;-0.00010268;-3.24751E-05;-0.000282308
3.154124396;-9.53662E-05;-0.000106597;-0.000322425
3.153644951;-0.000101112;-0.000170688;-0.000367668
3.153165652;-0.000123371;-0.000214826;-0.000408378
3.152686499;-0.000163479;-0.000232651;-0.000437931
3.152207491;-0.0002188;-0.00022296;-0.000453462
3.151728629;-0.000284079;-0.00019004;-0.000456331
3.151249912;-0.000352413;-0.000143295;-0.000450436
3.150770348;-0.000416279;-9.39106E-05;-0.000440409
3.150291922;-0.000469111;-5.27891E-05;-0.000430301
3.149813641;-0.000505903;-2.70692E-05;-0.000421937
3.149335506;-0.000524127;-1.98072E-05;-0.000415928
3.148857516;-0.000522564;-2.88858E-05;-0.000411779
3.148379671;-0.000502575;-4.94069E-05;-0.000409249
3.147901971;-0.000467093;-7.51968E-05;-0.000408788
3.147424415;-0.000421221;-0.000101182;-0.000411443
3.146946015;-0.000371255;-0.000124304;-0.000418397
3.14646875;-0.000324922;-0.000143841;-0.000430495
3.145991629;-0.000289494;-0.000160456;-0.000447023
3.145514653;-0.000270649;-0.00017574;-0.000466428
3.145037822;-0.000271309;-0.000191195;-0.000486125
3.144561136;-0.000290603;-0.000207723;-0.00050283
3.144084593;-0.000324387;-0.000225499;-0.000513653
3.143607208;-0.000365833;-0.000243479;-0.000516279
3.143130954;-0.000406749;-0.000259492;-0.000509632
3.142654846;-0.000439538;-0.000269581;-0.000494409
3.142178881;-0.000457738;-0.000269134;-0.000473181
3.141703061;-0.000457429;-0.000253261;-0.00045073
3.141227384;-0.000437163;-0.000218559;-0.000433235
3.140751852;-0.000398618;-0.000164795;-0.000426968
3.140276464;-0.000345976;-9.64359E-05;-0.000437075
3.139800233;-0.000286139;-2.18944E-05;-0.000465038
3.139325133;-0.00022704;4.71449E-05;-0.000507972
3.138850176;-0.000177429;9.88088E-05;-0.000558458
3.138375364;-0.00014452;0.000123577;-0.000606137
3.137900694;-0.000132828;0.000117192;-0.000640276
3.137426169;-0.000142563;8.15257E-05;-0.00065272
3.136951786;-0.000170082;2.42784E-05;-0.000640006
3.136477548;-0.000208015;-4.35458E-05;-0.000604802
3.136003452;-0.000247833;-0.00011;-0.000554802
3.135528517;-0.000281648;-0.000164867;-0.000500655
3.135054708;-0.000304756;-0.000201925;-0.000453195
3.134581043;-0.000316711;-0.000219392;-0.000421089
3.134107521;-0.000320909;-0.000219541;-0.000408691
3.133634141;-0.00032299;-0.00020742;-0.000415859
3.133160905;-0.000329307;-0.00018931;-0.000438949
3.132687812;-0.000343648;-0.000170667;-0.000471946
3.132214861;-0.000366532;-0.00015523;-0.000508106
3.131741073;-0.000395025;-0.000143926;-0.000541187
3.131268408;-0.000423281;-0.000135131;-0.000566849
3.130795886;-0.000445154;-0.00012559;-0.000582913
3.130323506;-0.000456089;-0.000112394;-0.000589665
3.129851269;-0.000454985;-9.39398E-05;-0.000589745
3.129379175;-0.000443931;-7.13739E-05;-0.000587219
3.128907223;-0.000427909;-4.90474E-05;-0.000586834
3.128434434;-0.00041262;-3.30657E-05;-0.000592646
3.127962767;-0.000402929;-2.97416E-05;-0.000607046
3.127491242;-0.000400397;-4.33854E-05;-0.000630221
3.127019859;-0.000403493;-7.52571E-05;-0.000660489
3.126548619;-0.000408046;-0.000121976;-0.000694566
3.12607752;-0.000408724;-0.000177656;-0.000729151
3.125606563;-0.00040154;-0.000234736;-0.000761412
3.125135748;-0.000385083;-0.00028667;-0.000789874
3.124664099;-0.00036155;-0.000328675;-0.000813723
3.124193568;-0.000335878;-0.000358962;-0.0008324
3.123723178;-0.000314181;-0.000377404;-0.000844748
3.12325293;-0.000302122;-0.000385119;-0.0008489
3.122782824;-0.00030234;-0.000383296;-0.000842312
3.122312859;-0.000314456;-0.000373041;-0.000823397
3.121843036;-0.000335068;-0.000355791;-0.000791785
3.121373354;-0.00035916;-0.0003334;-0.000749734
3.120903814;-0.000382231;-0.000309116;-0.000701442
3.120433441;-0.000401135;-0.000286352;-0.000652824
3.119964183;-0.000416057;-0.000268719;-0.000609605
3.119495066;-0.000429134;-0.000257877;-0.000576365
3.11902609;-0.000444106;-0.000253844;-0.000555698
3.118557256;-0.000464134;-0.000254436;-0.000548495
3.118088562;-0.000490445;-0.000256721;-0.000554191
3.117620009;-0.000521173;-0.000258171;-0.000571711
3.117151597;-0.00055135;-0.000257929;-0.000599787
3.116682354;-0.000574529;-0.000257406;-0.000637367
3.116214224;-0.000584554;-0.000258979;-0.000682574
3.115746234;-0.000577484;-0.000265423;-0.000733005
